metric,variant,n_traces,real_valued,mean_shift,mean_shift_bca_low,mean_shift_bca_high,rank_biserial_mean,wilcoxon_p_mean,cohens_d_paired,n_var,median_std_B,median_std_C,std_shift,wilcoxon_p_var,rank_biserial_var,median_std_M,median_std_P,note,wilcoxon_p_mean_holm,wilcoxon_p_var_holm
answer_relevancy_deepeval,C,10,True,0.0,,,,,0.0,10.0,0.0,0.0,0.0,,,,,,,
answer_relevancy_deepeval,M,10,True,0.0,,,,,0.0,10.0,0.0,,0.0,,,0.0,,,,
answer_relevancy_deepeval,P,10,True,0.0,,,,,0.0,10.0,0.0,,0.0,,,,0.0,,,
claim_count_contradicted,C,10,False,0.02,0.0,0.1,1.0,1.0,0.31622776601683794,0.0,,0.0,,,,,,,1.0,
claim_count_contradicted,M,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_count_contradicted,P,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_count_covered,C,10,False,-0.059999999999999984,-0.19999999999999996,0.019999999999999997,-0.6666666666666666,0.5,-0.31622776601683794,0.0,,0.0,,,,,,,0.5,
claim_count_covered,M,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_count_covered,P,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_count_partial,C,10,False,-0.05499999999999996,-0.3,0.07333333333333339,-0.2,0.875,-0.18511626775157594,0.0,,0.0,,,,,,,0.875,
claim_count_partial,M,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_count_partial,P,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_count_total,C,10,False,-0.08000000000000007,-0.2187128315633074,0.0,-1.0,0.5,-0.4743416490252569,0.0,,0.0,,,,,,,0.5,
claim_count_total,M,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_count_total,P,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_coverage,C,10,False,-0.008994047619047615,-0.02023809523809523,-0.0020000000000000018,-1.0,0.25,-0.5938269361087863,0.0,,0.0,,,,,,,0.25,
claim_coverage,M,0,False,,,,,,,,,,,,,,,too few paired traces,,
claim_coverage,P,0,False,,,,,,,,,,,,,,,too few paired traces,,
contextual_precision_deepeval,C,10,True,-0.019869257476330435,-0.07114124392379245,0.011620406647154932,-0.15555555555555556,0.734375,-0.29813486670769607,10.0,0.026905508762846485,0.039740347900509426,0.02667001387868434,0.359375,0.37777777777777777,,,,1.0,0.580078125
contextual_precision_deepeval,M,10,True,-0.10572561556412671,-0.28172647399754713,0.012793815825586387,-0.2,0.625,-0.43365113515090786,10.0,0.026905508762846485,,0.03909593891544794,0.193359375,0.4909090909090909,0.05963128136540774,,,1.0,0.580078125
contextual_precision_deepeval,P,10,True,-0.045445701982475814,-0.11923798972328402,-0.007998616967558218,-0.6444444444444445,0.09765625,-0.530313549487634,10.0,0.026905508762846485,,0.06475769813115193,0.25,0.4666666666666667,,0.04364408215992747,,0.29296875,0.580078125
contextual_recall_deepeval,C,10,True,-0.024869255744255747,-0.07958393007686092,-0.001043722547808209,-0.5,0.296875,-0.43023396108582534,10.0,0.04453072905059385,0.03398331396093863,-0.0029911355624287262,0.9375,-0.07142857142857142,,,,0.890625,1.0
contextual_recall_deepeval,M,10,True,-0.035177920763447106,-0.24688044331991238,0.0754766202635625,0.01818181818181818,1.0,-0.1403899973241962,10.0,0.04453072905059385,,0.01568741661298394,1.0,0.022222222222222223,0.06039385788479241,,,1.0,1.0
contextual_recall_deepeval,P,10,True,-0.013443986568986543,-0.04122437640604901,0.009552970854158748,-0.2857142857142857,0.578125,-0.3139463007898346,10.0,0.04453072905059385,,0.001990410995876819,0.9375,-0.07142857142857142,,0.045678533083331,,1.0,1.0
contextual_relevancy_deepeval,C,10,True,-0.013287267058312995,-0.03643602570389891,-0.001853694531811583,-0.5636363636363636,0.130859375,-0.5014259978014421,10.0,0.012529090420428823,0.01184411523312733,0.01810324241964434,1.0,0.01818181818181818,,,,0.26171875,1.0
contextual_relevancy_deepeval,M,1,True,,,,,,,,,,,,,,,too few paired traces,,
contextual_relevancy_deepeval,P,10,True,-0.03429877502146539,-0.09337616817718156,-0.0072617149227950945,-0.4909090909090909,0.193359375,-0.5357494116082719,10.0,0.012529090420428823,,0.05988564105232598,0.6953125,0.16363636363636364,,0.01635140315634978,,0.26171875,1.0
eti_clarity,C,10,False,0.0,,,,,0.0,10.0,0.0,0.0,0.0,,,,,,,
eti_clarity,M,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,0.0,,,,
eti_clarity,P,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,,0.0,,,
eti_empathy,C,10,False,0.0,,,,,0.0,10.0,0.0,0.0,0.0,,,,,,,
eti_empathy,M,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,0.0,,,,
eti_empathy,P,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,,0.0,,,
eti_quality_assessment,C,10,False,0.0,,,,,0.0,10.0,0.0,0.0,0.0,,,,,,,
eti_quality_assessment,M,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,0.0,,,,
eti_quality_assessment,P,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,,0.0,,,
eti_quality_score,C,10,False,0.0,,,,,0.0,10.0,0.0,0.0,0.0,,,,,,,
eti_quality_score,M,10,False,-0.034999999999999996,-0.09499999999999999,-0.0050000000000000044,-1.0,0.25,-0.5233670255931883,10.0,0.0,,0.036053743712627054,0.25,1.0,0.0,,,0.25,0.25
eti_quality_score,P,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,,0.0,,,
eti_relevance,C,10,False,0.0,,,,,0.0,10.0,0.0,0.0,0.0,,,,,,,
eti_relevance,M,10,False,-0.04,-0.2,0.0,-1.0,1.0,-0.31622776601683794,10.0,0.0,,0.054772255750516606,1.0,1.0,0.0,,,1.0,1.0
eti_relevance,P,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,,0.0,,,
eti_variability,C,10,False,0.0,,,,,0.0,10.0,0.0,0.0,0.0,,,,,,,
eti_variability,M,10,False,-0.1,-0.4,0.0,-1.0,0.5,-0.39391929857916763,10.0,0.0,,0.0894427190999916,0.5,1.0,0.0,,,0.5,0.5
eti_variability,P,10,False,0.0,,,,,0.0,10.0,0.0,,0.0,,,,0.0,,,
faithfulness_ragas,C,10,True,0.0124645095048321,-0.051085177140366145,0.0632098992521209,0.2,0.625,0.12801470367579848,10.0,0.041284013202902856,0.09992206295776951,0.05077122621149192,0.431640625,0.3090909090909091,,,,1.0,0.86328125
faithfulness_ragas,M,10,True,-0.12547933422773727,-0.21451845574910866,-0.05925443599337055,-0.9272727272727272,0.005859375,-0.9530461299171825,10.0,0.041284013202902856,,0.004261957411283319,1.0,0.01818181818181818,0.05250595467223853,,,0.017578125,1.0
faithfulness_ragas,P,10,True,-0.004184061328521327,-0.07564740217601386,0.045997688676142325,0.15555555555555556,0.734375,-0.041703919979220086,10.0,0.041284013202902856,,0.09669448893143687,0.16015625,0.5272727272727272,,0.10702052816718863,,1.0,0.48046875
hallucination_deepeval,C,10,False,6.127450980392135e-05,0.0,0.00030637254901960675,1.0,1.0,0.31622776601683794,10.0,0.0,0.0,-0.00015009128325877357,1.0,-1.0,,,,1.0,1.0
hallucination_deepeval,M,10,False,-0.006188725490196079,-0.030943627450980393,0.0,-1.0,1.0,-0.31622776601683794,10.0,0.0,,-0.00015009128325877357,1.0,-1.0,0.0,,,1.0,1.0
hallucination_deepeval,P,10,False,6.127450980392135e-05,0.0,0.00030637254901960675,1.0,1.0,0.31622776601683794,10.0,0.0,,-0.00015009128325877357,1.0,-1.0,,0.0,,1.0,1.0
